datetime,equity
2026-05-03 20:00,10169.27
2026-05-03 21:00,10169.27
2026-05-03 22:00,10169.27
2026-05-03 23:00,10169.27
2026-05-04 00:00,10169.27
2026-05-04 01:00,10169.27
2026-05-04 02:00,10169.27
2026-05-04 03:00,10169.27
2026-05-04 04:00,10169.27
2026-05-04 05:00,10239.62
2026-05-04 06:00,10270.43
2026-05-04 07:00,10299.09
2026-05-04 08:00,10293.35
2026-05-04 09:00,10583.64
2026-05-04 10:00,10581.99
2026-05-04 11:00,10593.06
2026-05-04 12:00,10594.68
2026-05-04 13:00,10606.60
2026-05-04 14:00,10606.60
2026-05-04 15:00,10606.60
2026-05-04 16:00,10606.60
2026-05-04 17:00,10606.60
2026-05-04 18:00,10606.60
2026-05-04 19:00,10606.60
2026-05-04 20:00,10606.60
2026-05-04 21:00,10606.60
2026-05-04 22:00,10606.60
2026-05-04 23:00,10606.60
2026-05-05 00:00,10606.60
2026-05-05 01:00,10606.60
2026-05-05 02:00,10606.60
2026-05-05 03:00,10606.60
2026-05-05 04:00,10606.60
2026-05-05 05:00,10606.60
2026-05-05 06:00,10606.60
2026-05-05 07:00,10606.60
2026-05-05 08:00,10606.60
2026-05-05 09:00,10606.60
2026-05-05 10:00,10606.60
2026-05-05 11:00,10606.60
2026-05-05 12:00,10606.60
2026-05-05 13:00,10606.60
2026-05-05 14:00,10606.60
2026-05-05 15:00,10606.60
2026-05-05 16:00,10606.60
2026-05-05 17:00,10606.60
2026-05-05 18:00,10606.60
2026-05-05 19:00,10606.60
2026-05-05 20:00,10606.60
2026-05-05 21:00,10616.20
2026-05-05 22:00,10623.47
2026-05-05 23:00,10766.55
2026-05-06 00:00,10766.55
2026-05-06 01:00,10766.55
2026-05-06 02:00,10766.55
2026-05-06 03:00,10766.55
2026-05-06 04:00,10766.55
2026-05-06 05:00,10766.55
2026-05-06 06:00,10766.55
2026-05-06 07:00,10766.55
2026-05-06 08:00,10766.55
2026-05-06 09:00,10766.55
2026-05-06 10:00,10766.55
2026-05-06 11:00,10766.55
2026-05-06 12:00,10766.55
2026-05-06 13:00,10776.19
2026-05-06 14:00,10780.07
2026-05-06 15:00,10778.97
2026-05-06 16:00,10782.80
2026-05-06 17:00,10940.90
2026-05-06 18:00,10940.90
2026-05-06 19:00,10940.90
2026-05-06 20:00,10940.90
2026-05-06 21:00,10940.90
2026-05-06 22:00,10940.90
2026-05-06 23:00,10940.90
2026-05-07 00:00,10940.90
2026-05-07 01:00,10940.90
2026-05-07 02:00,10940.90
2026-05-07 03:00,10940.90
2026-05-07 04:00,10940.90
2026-05-07 05:00,10940.90
2026-05-07 06:00,10940.90
2026-05-07 07:00,10940.90
2026-05-07 08:00,10940.90
2026-05-07 09:00,10940.90
2026-05-07 10:00,10958.76
2026-05-07 11:00,10967.60
2026-05-07 12:00,10979.57
2026-05-07 13:00,11108.15
2026-05-07 14:00,11103.50
2026-05-07 15:00,11141.34
2026-05-07 16:00,11133.65
2026-05-07 17:00,11174.34
2026-05-07 18:00,11178.02
2026-05-07 19:00,11170.84
2026-05-07 20:00,11167.38
2026-05-07 21:00,10927.80
2026-05-07 22:00,10927.80
2026-05-07 23:00,10927.80
2026-05-08 00:00,10927.80
2026-05-08 01:00,10927.80
2026-05-08 02:00,10927.80
2026-05-08 03:00,10927.80
2026-05-08 04:00,10927.80
2026-05-08 05:00,10927.80
2026-05-08 06:00,10927.80
2026-05-08 07:00,10927.80
2026-05-08 08:00,10927.80
2026-05-08 09:00,10927.80
2026-05-08 10:00,10927.80
2026-05-08 11:00,10927.80
2026-05-08 12:00,10927.80
2026-05-08 13:00,10927.80
2026-05-08 14:00,10927.80
2026-05-08 15:00,10927.80
2026-05-08 16:00,10927.80
2026-05-08 17:00,10927.80
2026-05-08 18:00,10927.80
2026-05-08 19:00,10927.80
2026-05-08 20:00,10927.80
2026-05-08 21:00,10927.80
2026-05-08 22:00,10927.80
2026-05-08 23:00,10927.80
2026-05-09 00:00,10927.80
2026-05-09 01:00,10927.80
2026-05-09 02:00,10927.80
2026-05-09 03:00,10927.80
2026-05-09 04:00,10927.80
2026-05-09 05:00,10927.80
2026-05-09 06:00,10927.80
2026-05-09 07:00,10927.80
2026-05-09 08:00,10927.80
2026-05-09 09:00,10927.80
2026-05-09 10:00,10927.80
2026-05-09 11:00,10927.80
2026-05-09 12:00,10927.80
2026-05-09 13:00,10927.80
2026-05-09 14:00,10927.80
2026-05-09 15:00,10927.80
2026-05-09 16:00,10927.80
2026-05-09 17:00,10927.80
2026-05-09 18:00,10927.80
2026-05-09 19:00,10927.80
2026-05-09 20:00,10927.80
2026-05-09 21:00,10927.80
2026-05-09 22:00,10927.80
2026-05-09 23:00,10927.80
2026-05-10 00:00,10927.80
2026-05-10 01:00,10927.80
2026-05-10 02:00,10927.80
2026-05-10 03:00,10927.80
2026-05-10 04:00,10927.80
2026-05-10 05:00,10927.80
2026-05-10 06:00,10927.80
2026-05-10 07:00,10927.80
2026-05-10 08:00,10927.80
2026-05-10 09:00,10927.80
2026-05-10 10:00,10927.80
2026-05-10 11:00,10927.80
2026-05-10 12:00,10927.80
2026-05-10 13:00,10927.80
2026-05-10 14:00,10927.80
2026-05-10 15:00,10927.80
2026-05-10 16:00,10927.80
2026-05-10 17:00,10927.80
2026-05-10 18:00,10927.80
2026-05-10 19:00,10927.80
2026-05-10 20:00,10927.80
2026-05-10 21:00,10927.80
2026-05-10 22:00,10945.39
2026-05-10 23:00,10958.53
2026-05-11 00:00,10968.95
2026-05-11 01:00,11187.60
2026-05-11 02:00,11352.78
2026-05-11 03:00,11574.52
2026-05-11 04:00,11574.52
2026-05-11 05:00,11574.52
2026-05-11 06:00,11574.52
2026-05-11 07:00,11574.52
2026-05-11 08:00,11574.52
2026-05-11 09:00,11574.52
2026-05-11 10:00,11574.52
2026-05-11 11:00,11574.52
2026-05-11 12:00,11574.52
2026-05-11 13:00,11574.52
2026-05-11 14:00,11574.52
2026-05-11 15:00,11574.52
2026-05-11 16:00,11574.52
2026-05-11 17:00,11574.52
2026-05-11 18:00,11574.52
2026-05-11 19:00,11574.52
2026-05-11 20:00,11574.52
2026-05-11 21:00,11574.52
2026-05-11 22:00,11574.52
2026-05-11 23:00,11574.52
2026-05-12 00:00,11574.52
2026-05-12 01:00,11574.52
2026-05-12 02:00,11574.52
2026-05-12 03:00,11574.52
2026-05-12 04:00,11574.52
2026-05-12 05:00,11574.52
2026-05-12 06:00,11574.52
2026-05-12 07:00,11574.52
2026-05-12 08:00,11574.52
2026-05-12 09:00,11574.52
2026-05-12 10:00,11574.52
2026-05-12 11:00,11574.52
2026-05-12 12:00,11574.52
2026-05-12 13:00,11574.52
2026-05-12 14:00,11574.52
2026-05-12 15:00,11574.52
2026-05-12 16:00,11574.52
2026-05-12 17:00,11574.52
2026-05-12 18:00,11574.52
2026-05-12 19:00,11574.52
2026-05-12 20:00,11574.52
2026-05-12 21:00,11574.52
2026-05-12 22:00,11574.52
2026-05-12 23:00,11574.52
2026-05-13 00:00,11574.52
2026-05-13 01:00,11574.52
2026-05-13 02:00,11574.52
2026-05-13 03:00,11574.52
2026-05-13 04:00,11574.52
2026-05-13 05:00,11574.52
2026-05-13 06:00,11574.52
2026-05-13 07:00,11574.52
2026-05-13 08:00,11605.86
2026-05-13 09:00,11781.66
2026-05-13 10:00,11820.84
2026-05-13 11:00,11954.64
2026-05-13 12:00,12003.03
2026-05-13 13:00,12151.18
2026-05-13 14:00,12152.90
2026-05-13 15:00,12156.64
2026-05-13 16:00,12149.78
2026-05-13 17:00,12396.63
2026-05-13 18:00,12561.19
2026-05-13 19:00,12561.19
2026-05-13 20:00,12561.19
2026-05-13 21:00,12561.19
2026-05-13 22:00,12561.19
2026-05-13 23:00,12561.19
2026-05-14 00:00,12561.19
2026-05-14 01:00,12561.19
2026-05-14 02:00,12561.19
