timestamp,open,high,low,close,volume_from,volume_to
2021-05-14T19:00:00,49887.96,50710.05,42130.83,43552.14,266797.54000000004,12181120493.59
2021-05-17T19:00:00,43552.14,45819.36,29925.2,38837.76,936469.99,35668436481.56
2021-05-24T19:00:00,38837.76,40854.81,33400.65,37290.83,413279.57,15320591011.31
2021-05-31T19:00:00,37290.83,39482.46,33367.12,33582.86,294697.04,10826100424.22
2021-06-07T19:00:00,33582.86,41025.42,31034.35,40526.63,442638.73,15992037426.89
2021-06-14T19:00:00,40526.63,41307.06,31284.7,31652.62,410536.39,14851435199.1
2021-06-21T19:00:00,31652.62,35494.5,28908.07,34487.11,480665.23,15689864078.22
2021-06-28T19:00:00,34487.11,36624.75,32715.18,33702.79,218781.35,7538969331.51
2021-07-05T19:00:00,33702.79,35096.65,32108.68,33088.51,194335.43,6526901497.71
2021-07-12T19:00:00,33088.51,33335.54,30487.11,30847.55,203137.51,6464334399.6
2021-07-19T19:00:00,30847.55,40553.85,29320.09,37269.52,283319.05,9690078525.95
2021-07-26T19:00:00,37269.52,42584.65,36422.45,39158.53,290994.55,11567867039.16
2021-08-02T19:00:00,39158.53,46476.01,37330.04,46292.61,319160.3,13318247608.6
2021-08-09T19:00:00,46292.61,48136.25,43786.4,45927.4,206361.78,9505553003.45
2021-08-16T19:00:00,45927.4,50513.83,43982.21,49521.06,207405.01,9794872367.2
2021-08-23T19:00:00,49521.06,49859.97,46376.81,46993.31,176773.7,8501217636.139999
2021-08-30T19:00:00,46993.31,52766.16,46544.74,52693.32,196584.86,9733676415.869999
2021-09-06T19:00:00,52693.32,52919.24,43511.3,44958.56,271077.2,12611057596.59
2021-09-13T19:00:00,44958.56,48808,42552.63,42925.46,192501.99,8928028489.54
2021-09-20T19:00:00,42925.46,45143.18,39767.17,42187.51,280097.11,11964029200.9
2021-09-27T19:00:00,42187.51,49501.21,40790.67,49276.91,214908.63,9733223929.11
2021-10-04T19:00:00,49276.91,57825.98,49087.72,57498.8,237531.22,12804636150.69
2021-10-11T19:00:00,57498.8,62889.98,54098.22,62038.16,254905.41999999998,15107835665.82
2021-10-18T19:00:00,62038.16,66980.66,59529.34,63089.04,251006.37,15850175880.21
2021-10-25T19:00:00,63089.04,63290.04,58128.18,60960.98,227627.55,13832229907.07
2021-11-01T19:00:00,60960.98,67755.46,60130.85,67549.14,179343.5,11279827348.95
2021-11-08T18:00:00,67549.14,68978.64,62315.02,63614.06,190218.63,12462239232.48
2021-11-15T18:00:00,63614.06,63614.53,55655.03,56303.06,278166.38,16393784041.029999
2021-11-22T18:00:00,56303.06,59437.04,53436.05,57839.55,220254.41,12396802464.039999
2021-11-29T18:00:00,57839.55,59226.33,43563.07,50552.83,334058.36,17457725100.02
2021-12-06T18:00:00,50552.83,51953.27,45800.52,46731.03,224424.29,10981155826.880001
2021-12-13T18:00:00,46731.03,49499.91,45505.02,46913.54,216229.45,10234250683.53
2021-12-20T18:00:00,46913.54,52079.46,46661.88,50714.73,153392.0,7649799470.43
2021-12-27T18:00:00,50714.73,50718.53,45665.44,46450.79,199903.13,9487176368.21
2022-01-03T18:00:00,46450.79,47529.48,39667.6,41832.59,265943.21,11418279028.89
2022-01-10T18:00:00,41832.59,44442.67,41279.45,42224.38,171864.19,7370826733.6
2022-01-17T18:00:00,42224.38,43513.14,32990.72,36702.79,390700.31,14667311944.19
2022-01-24T18:00:00,36702.79,38930.36,35543.94,38494.66,263050.97,9788918326.74
2022-01-31T18:00:00,38494.66,44518.11,36270.47,43861.07,218694.33,8707484333.84
2022-02-07T18:00:00,43861.07,45837.02,41581.41,42552.28,215338.12,9358583347.039999
2022-02-14T18:00:00,42552.28,44771.91,36862.52,37037.39,202559.0,8272491915.59
2022-02-21T18:00:00,37037.39,43953.92,34349.58,43189.46,312347.66000000003,11877104474.1
2022-02-28T18:00:00,43189.46,45069.78,37191.99,38030.63,249938.63,10372922514.67
2022-03-07T18:00:00,38030.63,42557.95,37566.52,39696.28,226187.11,8943625283.3
2022-03-14T19:00:00,39696.28,42367.55,38259.88,41043.9,188166.08000000002,7645345748.440001
2022-03-21T19:00:00,41043.9,48208.48,40923.9,47128.71,203420.73,9004359839.96
2022-03-28T19:00:00,47128.71,48054.67,44256.66,46609.36,174519.93,8113370531.76
2022-04-04T19:00:00,46609.36,47187.66,39229.4,39536.71,172527.48,7482204691.29
2022-04-11T19:00:00,39536.71,41538.17,38569.14,40811.03,132200.57,5314832392.33
2022-04-18T19:00:00,40811.03,42996.5,38234.7,40437.52,167921.59,6790976138.59
2022-04-25T19:00:00,40437.52,40797.85,37461.76,38513.01,188231.78999999998,7323651924.110001
2022-05-02T19:00:00,38513.01,40004.37,30068.1,30076.9,332739.41000000003,11726084331.630001
2022-05-09T19:00:00,30076.9,32625.41,25835.61,29838.5,557766.11,16552243706.6
2022-05-16T19:00:00,29838.5,30744.47,28610.2,29075.68,259531.59,7717640544.88
2022-05-23T19:00:00,29075.68,32161.5,28060.72,31716.41,208618.28,6162191276.9
2022-05-30T19:00:00,31716.41,32367.02,29249.37,31353.78,187225.94,5736480307.63
2022-06-06T19:00:00,31353.78,31551.28,21976.15,22471.59,363643.99,9785632656.72
2022-06-13T19:00:00,22471.59,23214.28,17600.75,20550.91,548489.51,11304820973.9
2022-06-20T19:00:00,20550.91,21855.84,19756.23,20718.16,249953.85,5217101350.41
2022-06-27T19:00:00,20718.16,21184.16,18622.86,20212.81,263484.57,5183971595.25
2022-07-04T19:00:00,20212.81,22377.17,19284.32,19944.25,274272.3,5715978173.72
2022-07-11T19:00:00,19944.25,22749.06,18919.1,22447.39,311213.88,6415902109.88
2022-07-18T19:00:00,22447.39,24276.14,21268.28,21305.59,339468.74,7760455270.69
2022-07-25T19:00:00,21305.59,24619.11,20733.24,23271.57,276086.6,6337270007.9800005
2022-08-01T19:00:00,23271.57,24244.59,22418.27,23817.72,241000.74,5593412085.61
2022-08-08T19:00:00,23817.72,25203.38,22674.6,24101.69,299521.5,7219553800.679999
2022-08-15T19:00:00,24101.69,24442.02,20772.5,21399.66,301408.9,6701560235.13
2022-08-22T19:00:00,21399.66,21879.03,19527.69,20292.37,309612.31,6446641524.78
2022-08-29T19:00:00,20292.37,20574.12,19548.55,19793.29,277189.93,5549410732.08
2022-09-05T19:00:00,19793.29,22482.54,18559.15,22400.52,368109.05,7515059403.3
2022-09-12T19:00:00,22400.52,22767.89,18292.38,19541.28,365026.61,7329492209.11
2022-09-19T19:00:00,19541.28,19744.77,18189.92,19230.96,473577.02999999997,9010536430.529999
2022-09-26T19:00:00,19230.96,20377.45,18494.71,19632.35,438598.07,8517235048.16
2022-10-03T19:00:00,19632.35,20459.26,19052.64,19131.36,339981.21,6748816145.21
2022-10-10T19:00:00,19131.36,19946.24,18229.27,19550.49,336816.45,6458906180.03
2022-10-17T19:00:00,19550.49,19698.1,18696.2,19331.06,348037.45,6697283222.18
2022-10-24T19:00:00,19331.06,21064.84,19243.03,20492.56,547267.29,11193691736.08
2022-10-31T19:00:00,20492.56,21471.49,20040.32,20593.73,425256.55,8791913292.75
2022-11-07T18:00:00,20593.73,20672.25,15546.97,16592.04,879535.39,15397598754.56
2022-11-14T18:00:00,16592.04,17091.76,15480.69,15760.19,351467.37,5804542931.33
2022-11-21T18:00:00,15760.19,16787.9,15600.3,16207.01,305261.07,4984130537.85
2022-11-28T18:00:00,16207.01,17409.45,16096.7,16966.84,357380.78,6048801851.57
2022-12-05T18:00:00,16966.84,17319.38,16713.28,17208.66,262911.58,4478312316.82
2022-12-12T18:00:00,17208.66,18344.32,16350.32,16442.79,451576.25,7796843366.08
2022-12-19T18:00:00,16442.79,17028.68,16404.94,16916.07,271773.39,4566594863.71
2022-12-26T18:00:00,16916.07,16960.3,16364.76,16670.08,269683.89,4480852035.61
2023-01-02T18:00:00,16670.08,17387.59,16605.01,17179.03,286757.39999999997,4855434020.81
2023-01-09T18:00:00,17179.03,21438.83,17148.57,21188.92,556421.09,10731650379.45
2023-01-16T18:00:00,21188.92,23327.14,20411.68,22917.47,505468.71,11104033021.71
2023-01-23T18:00:00,22917.47,23948.42,22354.6,22833.34,446704.59,10298272427.8
2023-01-30T18:00:00,22833.34,24229.18,22655.5,22761.44,280416.67,6532340323.09
2023-02-06T18:00:00,22761.44,23407.79,21407.31,21787.77,297846.61,6608719529.23
2023-02-13T18:00:00,21787.77,25233.22,21587.95,24838.09,415002.09,9944143745.53
2023-02-20T18:00:00,24838.09,25216.35,22809.19,23492.86,373426.58,8908146168.24
2023-02-27T18:00:00,23492.86,23980.02,22134.9,22410.79,234003.5,5367074919.14
2023-03-06T18:00:00,22410.79,24596,19599.47,24207.1,488603.55,10428704134.39
2023-03-13T19:00:00,24207.1,28539.63,23946.02,27807.05,499434.45,13049762850.4
2023-03-20T19:00:00,27807.05,28902.98,26551.46,27146.01,337192.37,9395159018.51
2023-03-27T19:00:00,27146.01,29171.13,26638.39,27809.04,269998.5,7577568077.76
2023-04-03T19:00:00,27809.04,29776.84,27671.89,29655.75,178364.05,5051042115.22
2023-04-10T19:00:00,29655.75,31020.32,29265.91,29446.34,230114.39,6949050007.31
2023-04-17T19:00:00,29446.34,30485.26,26998.44,27520.93,245629.90000000002,7007881397.8
2023-04-24T19:00:00,27520.93,30016.54,27200.99,28086.77,287871.23,8300071416.08
2023-05-01T19:00:00,28086.77,29853.13,27396.42,27783.42,217654.24,6246663015.13
2023-05-08T19:00:00,27783.42,28330.36,25833.3,27176.27,189242.18,5142140173.82
2023-05-15T19:00:00,27176.27,27488.05,26379.63,26855.4,134392.34,3625495223.07
2023-05-22T19:00:00,26855.4,28450.88,25882.27,27746.07,145271.15,3915433884.89
2023-05-29T19:00:00,27746.07,28052.68,25411.77,25740.46,154194.33000000002,4157132844.66
2023-06-05T19:00:00,25740.46,27423.02,25380.61,25905.64,162270.87,4257240643.34
2023-06-12T19:00:00,25905.64,27036.32,24765.75,26842.09,150112.31,3881077532.17
2023-06-19T19:00:00,26842.09,31416.26,26648.29,30271.91,227763.26,6739668293.64
2023-06-26T19:00:00,30271.91,31388.17,29465.7,31160.24,145696.59,4446596326.78
2023-07-03T19:00:00,31160.24,31521.11,29725.12,30421.04,115020.65000000001,3505653643.42
2023-07-10T19:00:00,30421.04,31844.94,29675.15,30147.68,148729.11,4563230224.91
2023-07-17T19:00:00,30147.68,30417.9,28860.94,29181.04,105865.78,3151743087.4900002
2023-07-24T19:00:00,29181.04,29682.98,29043.43,29231.47,80363.68,2354316342.79
2023-07-31T19:00:00,29231.47,30029.06,28564.09,29182.16,110039.49,3208721889.0
2023-08-07T19:00:00,29182.16,30210.36,29082.39,29409.22,87525.34,2585448605.4500003
2023-08-14T19:00:00,29409.22,29460.86,25328.06,26126.18,145240.83,3948254751.76
