timestamp,open,high,low,close,volume_from,volume_to
2026-05-10T21:00:00,81491.06,81546.21,81099.05,81159.18,813.88,66133765.78
2026-05-10T22:00:00,81159.18,81169.84,80508.78,80714.52,1147.38,92648410.66
2026-05-10T23:00:00,80714.52,80858.34,80625.51,80802.89,399.14,32226592.08
2026-05-11T00:00:00,80802.89,80958.74,80743.71,80816.24,421.81,34100112.14
2026-05-11T01:00:00,80816.24,81026.52,80747.46,80821.17,322.85,26110619.26
2026-05-11T02:00:00,80821.17,80823.01,80661.46,80726.41,280.56,22649113.35
2026-05-11T03:00:00,80726.41,80846.48,80604.04,80747.64,331.35,26751621.51
2026-05-11T04:00:00,80747.64,80980.35,80737.82,80948.31,318.53,25769793.76
2026-05-11T05:00:00,80948.31,81183.78,80924.92,80931.49,603.79,48947957.3
2026-05-11T06:00:00,80931.49,81180.21,80893.12,81180.21,310.54,25179739.75
2026-05-11T07:00:00,81180.21,81336.98,81009.3,81035.48,856.14,69504054.27
2026-05-11T08:00:00,81035.48,81306.17,80732.19,81036.29,1381.69,111946867.57
2026-05-11T09:00:00,81036.29,81220.02,80426.69,80911.11,1509.5,122008527.39
2026-05-11T10:00:00,80911.11,81433.86,80796.29,81418.6,1163.84,94450430.94
2026-05-11T11:00:00,81418.6,81900.77,81320.28,81556.71,1640.41,134015102.84
2026-05-11T12:00:00,81556.71,82055.56,81346.82,81932.03,2056.54,168203977.34
2026-05-11T13:00:00,81932.03,82128.76,81827.19,81849.45,1904.86,156196044.89
2026-05-11T14:00:00,81849.45,82080.4,81726.75,81952.44,1056.1,86520051.38
2026-05-11T15:00:00,81952.44,82073.1,81746.22,81811.24,996.8,81663348.51
2026-05-11T16:00:00,81811.24,81894.03,81582.53,81812.2,518.96,42411689.93
2026-05-11T17:00:00,81812.2,81955.23,81722.45,81820.69,446.55,36538915.37
2026-05-11T18:00:00,81820.69,81820.84,81587.23,81728.64,330.11,26974581.24
2026-05-11T19:00:00,81728.64,81774.86,81463.14,81533.41,499.97,40792749.93
2026-05-11T20:00:00,81533.41,81603.48,80692.51,81173.82,1334.32,108281044.32
2026-05-11T21:00:00,81173.82,81316.17,81068.59,81238.97,448.9,36451883.87
2026-05-11T22:00:00,81238.97,81271.21,81009.62,81037.56,298.13,24190883.47
2026-05-11T23:00:00,81037.56,81283.69,80979.55,81206.86,343.13,27843022.02
2026-05-12T00:00:00,81206.86,81289.8,81171.94,81211.23,272.66,22147224.56
2026-05-12T01:00:00,81211.23,81287.2,80995.66,81005.79,380.78,30908813.28
2026-05-12T02:00:00,81005.79,81114.98,80792.09,80837.69,512.39,41479955.73
2026-05-12T03:00:00,80837.69,80946.14,80741.57,80819.69,515.16,41648166.19
2026-05-12T04:00:00,80819.69,80941.21,80701.39,80812.75,564.26,45605010.55
